Timestamp,additive_name,smiles,MolWt,TPSA,LogP,HBD,HBA,CV峰面积,Tafel斜率,XPS结合能偏移,Raman峰面积拟合值,XRD晶面相对强度,循环寿命_h
2026-09-11 17:03:58,2-氨基-4-溴蒽醌-2-磺酸钠,Nc1c(S(=O)(=O)[O-])cc(Br)c2c1C(=O)c1ccccc1C2=O.[Na+],404.173,117.36,-1.285,1,6,3250.4,68.5,0.45,1820.5,2.45,1450.0
2026-09-11 17:03:58,甘氨酸,NCC(=O)O,75.067,63.32,-0.97,2,2,2980.2,74.2,0.28,1450.2,1.92,920.0
2026-09-11 17:03:58,柠檬酸,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.123,132.13,-1.248,4,4,3410.8,62.1,0.36,1960.8,2.78,1680.0
2026-09-11 17:03:58,硫脲,NC(=S)N,76.124,52.04,-0.811,2,1,2840.6,82.4,0.52,1320.4,1.65,680.0
2026-09-11 17:03:58,D-葡萄糖,C(C1C(C(C(C(O1)O)O)O)O)O,180.156,110.38,-3.221,5,6,3120.5,71.0,0.31,1680.1,2.15,1120.0
2026-09-11 17:03:58,L-抗坏血酸,C1=C(C(=O)OC1C(CO)O)O,160.125,86.99,-1.293,3,5,3305.0,65.8,0.39,1790.6,2.38,1380.0
2026-09-11 17:03:58,聚乙二醇二甲醚单体,COCCOC,90.122,18.46,0.279,0,2,2910.3,78.6,0.22,1380.0,1.81,810.0
2026-09-11 17:03:58,无水烟酰胺,NC(=O)c1cccnc1,122.127,55.98,0.181,1,2,3045.7,73.1,0.34,1595.4,2.06,1040.0
2026-09-11 17:03:58,聚乙烯吡咯烷酮单体,C1CC(=O)N(C1)C=C,111.144,20.31,0.752,0,1,3180.2,69.4,0.37,1720.0,2.22,1250.0
2026-09-11 17:03:58,尿素,NC(=O)N,60.056,69.11,-0.976,2,1,2890.5,77.8,0.25,1360.2,1.75,760.0
2026-09-11 17:03:58,甜菜碱,C[N+](C)(C)CC(=O)[O-],117.148,40.13,-1.557,0,2,3150.0,70.2,0.33,1690.4,2.18,1180.0
2026-09-11 17:03:58,丁二酸,C(CC(=O)O)C(=O)O,118.088,74.6,-0.064,2,2,3260.4,66.9,0.38,1810.5,2.4,1320.0
2026-09-11 17:03:58,乙酰丙酮,CC(=O)CC(=O)C,100.117,34.14,0.554,0,2,2940.8,76.2,0.27,1420.1,1.88,860.0
2026-09-11 17:03:58,季戊四醇,C(C(CO)(CO)CO)O,136.147,80.92,-2.058,4,4,3210.6,68.0,0.35,1760.3,2.3,1290.0
2026-09-11 17:03:58,谷氨酸,C(CC(=O)O)C(C(=O)O)N,147.13,100.62,-0.737,3,3,3090.2,72.5,0.3,1610.8,2.1,1080.0
2026-09-11 17:03:58,丙氨酸,CC(C(=O)O)N,89.094,63.32,-0.582,2,2,2960.0,75.0,0.26,1440.0,1.85,890.0
2026-09-11 17:03:58,麦芽糖,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,342.297,189.53,-5.397,8,11,3170.5,69.8,0.34,1710.2,2.2,1220.0
2026-09-11 17:03:58,邻菲罗啉,c1cnc2c(c1)ccc3c2nccc3,180.21,25.78,2.783,0,2,3280.0,66.0,0.4,1835.0,2.42,1410.0
2026-09-11 17:03:58,三氟甲磺酸根单体,C(F)(F)(F)S(=O)(=O)[O-],149.069,57.2,0.051,0,3,3350.2,64.2,0.42,1890.0,2.55,1520.0
2026-09-11 17:03:58,苯甲酸钠,c1ccccc1C(=O)[O-].[Na+],144.105,40.13,-2.946,0,2,3020.1,73.8,0.29,1540.6,2.02,990.0
